timestamp,bpm,source
2025-10-29T18:04:47.000Z,79,awake
2025-10-29T18:04:50.000Z,82,awake
2025-10-29T18:05:26.000Z,76,awake
2025-10-29T18:08:31.800Z,121,workout
2025-10-29T18:08:36.800Z,121,workout
2025-10-29T18:08:41.800Z,121,workout
2025-10-29T18:08:46.800Z,122,workout
2025-10-29T18:08:51.800Z,123,workout
2025-10-29T18:08:56.800Z,123,workout
2025-10-29T18:09:01.800Z,123,workout
2025-10-29T18:09:06.800Z,124,workout
2025-10-29T18:09:11.800Z,124,workout
2025-10-29T18:09:16.800Z,124,workout
2025-10-29T18:09:21.800Z,124,workout
2025-10-29T18:09:26.800Z,123,workout
2025-10-29T18:09:31.800Z,122,workout
2025-10-29T18:09:36.800Z,121,workout
2025-10-29T18:09:41.800Z,121,workout
2025-10-29T18:09:46.800Z,120,workout
2025-10-29T18:09:51.800Z,120,workout
2025-10-29T18:09:56.800Z,119,workout
2025-10-29T18:10:01.800Z,120,workout
2025-10-29T18:10:06.800Z,120,workout
2025-10-29T18:10:11.800Z,120,workout
2025-10-29T18:10:16.800Z,121,workout
2025-10-29T18:10:21.800Z,121,workout
2025-10-29T18:10:26.800Z,120,workout
2025-10-29T18:10:31.800Z,121,workout
2025-10-29T18:10:36.800Z,121,workout
2025-10-29T18:10:41.800Z,121,workout
2025-10-29T18:10:46.800Z,121,workout
2025-10-29T18:10:51.800Z,121,workout
2025-10-29T18:10:56.800Z,121,workout
2025-10-29T18:11:01.800Z,121,workout
2025-10-29T18:11:06.800Z,121,workout
2025-10-29T18:11:11.800Z,122,workout
2025-10-29T18:11:16.800Z,122,workout
2025-10-29T18:11:21.800Z,122,workout
2025-10-29T18:11:26.800Z,121,workout
2025-10-29T18:11:31.800Z,121,workout
2025-10-29T18:11:36.800Z,121,workout
2025-10-29T18:11:41.800Z,121,workout
2025-10-29T18:11:46.800Z,121,workout
2025-10-29T18:11:51.800Z,122,workout
2025-10-29T18:11:56.800Z,122,workout
2025-10-29T18:12:01.800Z,122,workout
2025-10-29T18:12:06.800Z,122,workout
2025-10-29T18:12:11.800Z,122,workout
2025-10-29T18:12:16.800Z,123,workout
2025-10-29T18:12:21.800Z,122,workout
2025-10-29T18:12:26.800Z,122,workout
2025-10-29T18:12:31.800Z,121,workout
2025-10-29T18:12:36.800Z,121,workout
2025-10-29T18:12:41.800Z,121,workout
2025-10-29T18:12:46.800Z,121,workout
2025-10-29T18:12:51.800Z,121,workout
2025-10-29T18:12:56.800Z,122,workout
2025-10-29T18:13:01.800Z,122,workout
2025-10-29T18:13:06.800Z,122,workout
2025-10-29T18:13:11.800Z,123,workout
2025-10-29T18:13:16.800Z,123,workout
2025-10-29T18:13:21.800Z,124,workout
2025-10-29T18:13:26.800Z,125,workout
2025-10-29T18:13:31.800Z,126,workout
2025-10-29T18:13:36.800Z,127,workout
2025-10-29T18:13:41.800Z,128,workout
2025-10-29T18:13:46.800Z,128,workout
2025-10-29T18:13:51.800Z,127,workout
2025-10-29T18:13:56.800Z,127,workout
2025-10-29T18:14:01.800Z,125,workout
2025-10-29T18:14:06.800Z,125,workout
2025-10-29T18:14:11.800Z,125,workout
2025-10-29T18:14:16.800Z,126,workout
2025-10-29T18:14:21.800Z,126,workout
2025-10-29T18:14:26.800Z,126,workout
2025-10-29T18:14:31.800Z,126,workout
2025-10-29T18:14:36.800Z,127,workout
2025-10-29T18:14:41.800Z,128,workout
2025-10-29T18:14:46.800Z,127,workout
2025-10-29T18:14:51.800Z,127,workout
2025-10-29T18:14:56.800Z,127,workout
2025-10-29T18:15:01.800Z,126,workout
2025-10-29T18:15:06.800Z,126,workout
2025-10-29T18:15:11.800Z,126,workout
2025-10-29T18:15:16.800Z,126,workout
2025-10-29T18:15:21.800Z,126,workout
2025-10-29T18:15:26.800Z,127,workout
2025-10-29T18:15:31.800Z,127,workout
2025-10-29T18:15:36.800Z,128,workout
2025-10-29T18:15:41.800Z,129,workout
2025-10-29T18:15:46.800Z,128,workout
2025-10-29T18:15:51.800Z,126,workout
2025-10-29T18:15:56.800Z,125,workout
2025-10-29T18:16:01.800Z,124,workout
2025-10-29T18:16:06.800Z,124,workout
2025-10-29T18:16:11.800Z,124,workout
2025-10-29T18:16:16.800Z,124,workout
2025-10-29T18:16:21.800Z,123,workout
2025-10-29T18:16:26.800Z,123,workout
2025-10-29T18:16:31.800Z,122,workout
2025-10-29T18:16:36.800Z,123,workout
2025-10-29T18:16:41.800Z,123,workout
2025-10-29T18:16:46.800Z,124,workout
2025-10-29T18:16:51.800Z,125,workout
2025-10-29T18:16:56.800Z,125,workout
2025-10-29T18:17:01.800Z,125,workout
2025-10-29T18:17:06.800Z,125,workout
2025-10-29T18:17:11.800Z,125,workout
2025-10-29T18:17:16.800Z,124,workout
2025-10-29T18:17:21.800Z,124,workout
2025-10-29T18:17:26.800Z,124,workout
2025-10-29T18:17:31.800Z,124,workout
2025-10-29T18:17:36.800Z,124,workout
2025-10-29T18:17:41.800Z,124,workout
2025-10-29T18:17:46.800Z,125,workout
2025-10-29T18:17:51.800Z,125,workout
2025-10-29T18:17:56.800Z,125,workout
2025-10-29T18:18:01.800Z,125,workout
2025-10-29T18:18:06.800Z,125,workout
2025-10-29T18:18:11.800Z,125,workout
2025-10-29T18:18:16.800Z,125,workout
2025-10-29T18:18:21.800Z,126,workout
2025-10-29T18:18:26.800Z,126,workout
